Start Time,Sortname,Location,CaO_AVG,SiO2_AVG,Al2O3_AVG,Fe2O3_AVG,MgO_AVG,NO.SO3.P_AVG,Na2O.P_AVG,K2O.P_AVG,TiO2_AVG,P2O5_AVG,Mn2O3_AVG,Cl_AVG,Cr2O3_AVG,LOI.P_AVG,NO.R45_AVG,WC_AVG,WR_AVG,SETINI_AVG,SETFIN_AVG,FLOW_AVG,R1,R3
2019-01-20 00:00:00,ESP2,NO.563.d,59.8592,23.777901,4.9963,3.3039,0.775,2.3521,0.0806,0.713,0.3014,0.3461,0.0577,0.0176,0.0065,3.76,0.84,50.41,25.379999,120,237,105.0,14.67,29.18
2019-01-21 00:00:00,ESP+,NO.630.d,61.199402,23.5131,5.1334,3.3197,0.808,2.5194,0.0708,0.8017,0.3004,0.3595,0.0607,0.0094,0.0075,1.8,1.01,48.919998,25.08,113,229,106.0,15.66,30.16
2019-01-21 00:00:00,ESP2,NO.563.d,59.2057,23.735901,5.0361,3.3447,0.7459,2.3647,0.0979,0.8158,0.3005,0.3489,0.0588,0.0206,0.0075,3.83,0.77,50.720001,25.08,127,254,109.0,13.55,28.99
2019-01-22 00:00:00,ESP+,NO.630.d,60.043701,23.557899,4.9857,3.2103,0.8337,2.5242,0.1076,0.8016,0.2972,0.3476,0.0602,0.0023,0.0083,2.07,0.91,49.189999,25.23,123,180,107.0,16.059999,30.74
2019-01-22 00:00:00,ESP2,NO.630.d,58.942299,23.3792,4.9646,3.1791,0.7711,2.3963,0.068,0.8136,0.2993,0.3437,0.0614,0.0117,0.0072,3.77,1.2,49.189999,25.23,138,217,108.0,17.030001,32.419998
2019-01-23 00:00:00,ESP+,NO.630.d,60.296902,23.6143,5.0141,3.2466,0.8349,2.6189,0.0882,0.7894,0.2999,0.3547,0.0589,-0.0002,0.0083,1.82,1.36,49.32,25.08,119,186,108.0,16.129999,29.290001
2019-01-24 00:00:00,BOYT1,NO.563.d,51.736698,26.368299,4.8315,2.902,0.6967,2.2074,0.1062,0.8092,0.3127,0.2902,0.0485,0.0067,0.0087,9.2,13.06,53.380001,24.15,163,242,113.0,6.11,14.62
2019-01-25 00:00:00,BOYT1,NO.563.d,51.7696,28.2225,5.0875,2.9562,0.5772,1.1052,0.0714,0.827,0.3252,0.2931,0.0483,0.013,0.0076,8.35,12.65,51.889999,24.77,146,228,106.0,4.49,14.06
2019-01-25 00:00:00,ESP2,NO.561.d,60.780499,22.8195,4.9277,3.2482,0.7843,2.2021,0.065,0.7885,0.3061,0.3151,0.0586,0.0049,0.008,3.79,2.74,52.029999,26.0,117,175,106.0,14.21,29.040001
2019-01-26 00:00:00,BOYT1,NO.563.d,52.3251,27.521601,5.1336,2.9764,0.6538,1.4099,0.0884,0.8359,0.3322,0.2811,0.051,0.0054,0.0084,8.53,11.3,52.16,24.620001,173,260,107.0,4.91,14.82
2019-01-26 00:00:00,ESP+,NO.630.d,65.612701,23.863001,5.0105,3.3387,0.8078,2.3075,0.0606,0.7763,0.3091,0.3361,0.0601,0.0091,0.0068,1.7,0.87,49.189999,25.379999,128,188,106.0,14.65,28.309999
2019-01-27 00:00:00,ESP+,NO.563.d,65.612701,23.410299,5.0861,3.3204,0.8285,2.2961,0.137,0.7477,0.2977,0.3361,0.0615,0.0053,0.0084,1.54,0.98,49.32,25.379999,127,187,107.0,15.63,30.219999
